,Symbols,BeforeCovid,Annual return,Cumulative returns,Annual volatility,Sharpe ratio,Calmar ratio,Stability,Max drawdown,Omega ratio,Sortino ratio,Skew,Kurtosis,Tail ratio,Daily value at risk,Symbols,DuringCovid,Annual return,Cumulative returns,Annual volatility,Sharpe ratio,Calmar ratio,Stability,Max drawdown,Omega ratio,Sortino ratio,Skew,Kurtosis,Tail ratio,Daily value at risk
10,600562.SS,14.624,29.1%,1398.2%,48.1%,0.7701659942946179,0.45049703375378347,0.6033929761602574,-64.6%,1.150456709170672,1.1724320167921294,0.2792351976891234,2.273476724086951,1.0583628212858471,-5.9%,600562.SS,1.015,1.0%,2.4%,39.6%,0.22327268713571588,0.025364658595915506,0.0012447190300974408,-40.0%,1.0401567190832752,0.3186385324666565,0.007016439941841323,2.3111265957620537,0.9802547469356095,-5.0%
11,600570.SS,20.127,33.4%,2015.4%,50.4%,0.8222209984973146,0.4173725889362881,0.7680969521480867,-79.9%,1.1588104496285334,1.252724209720157,0.2126418248975727,2.042948239799826,1.249349695963599,-6.2%,600570.SS,1.014,0.8%,2.0%,43.8%,0.23764018290695033,0.013537571200445304,0.16378503786310641,-62.7%,1.0402390102578283,0.347245327771891,0.15073344774293015,1.0027244516098994,1.0133278791102678,-5.5%
12,600593.SS,10.957,25.5%,1016.1%,42.7%,0.748240331434087,0.45774028695622615,0.7937133215999129,-55.8%,1.1528511353827904,1.0618663594067552,-0.4208793237749019,5.224319810900379,1.0964659934813945,-5.3%,600593.SS,-0.332,-37.0%,-66.8%,43.7%,-0.8369953405813768,-0.4853086401225614,0.8411638022441978,-76.2%,0.85341317440181,-1.1492792677724035,0.01918048068108038,3.546288116016278,0.8926693936191452,-5.7%
13,600703.SS,19.583,34.0%,2080.9%,49.4%,0.8384384803913211,0.48966912539377955,0.7132833661961888,-69.4%,1.1601254692860272,1.2742745236433537,0.19917599757685764,2.079168078951075,1.190988278365086,-6.1%,600703.SS,1.279,11.3%,29.1%,54.7%,0.4670920064687022,0.18084712298031236,0.08485770040732858,-62.4%,1.0811656439074282,0.7113137586898114,0.3033809783281329,0.8072283250553851,1.1024090093620809,-6.8%
14,600728.SS,10.216,24.7%,930.7%,47.7%,0.7008619445992297,0.32961528612524654,0.6706548635371974,-74.9%,1.1454965607789627,1.0400675166381002,0.13296590371022357,3.0500535681518803,1.046469366863531,-5.9%,600728.SS,-0.666,-15.3%,-32.7%,38.9%,-0.23365996108635587,-0.29627801189100145,0.43401099120878556,-51.7%,0.9587583049345039,-0.3333982003938148,0.16184669389794995,3.305525241928179,0.9717306681259966,-4.9%
15,600745.SS,26.846,36.5%,2586.4%,51.1%,0.8639366092057922,0.5311665568553592,0.8140239237870348,-68.7%,1.182999781437754,1.3057868371363117,0.1916157711317235,2.5122413504593277,1.1677245089467145,-6.3%,600745.SS,-0.817,-8.0%,-18.0%,54.9%,0.11974504349844091,-0.1252319469263763,0.2484463091722968,-63.9%,1.0208875687611485,0.18124736327032132,0.39922671878405575,1.275455592223885,1.276198625460435,-6.9%
16,600763.SS,35.986,40.4%,3521.2%,43.4%,0.9981518870874206,0.6834212291760915,0.8953432797289503,-59.1%,1.2011307231369548,1.5261194921874268,0.2147962384369871,2.542388562682671,1.2299013034000863,-5.3%,600763.SS,1.626,22.6%,62.6%,53.6%,0.6501546095082107,0.3151081877777298,0.06058936769898048,-71.8%,1.1170382924155924,0.9169155690880831,-0.28850669253360894,1.111661835937639,1.0049274081115773,-6.6%
17,600809.SS,15.954,31.6%,1744.3%,43.7%,0.8482830607604129,0.4474032862736003,0.3799594003857272,-70.7%,1.1580735456528735,1.2567525301319669,-0.07465275742827515,2.503883129568136,1.166813391431862,-5.4%,600809.SS,4.981,97.1%,404.6%,50.9%,1.5883512589359423,2.2355942516770795,0.7335131194697946,-43.4%,1.3170947303709402,2.41159703506744,-0.09117982319779862,1.404217635433083,1.1428261276383316,-6.1%
18,600872.SS,13.105,28.1%,1275.9%,42.5%,0.7945482713353553,0.41588200763186167,0.7124079281652976,-67.5%,1.1506346677251338,1.1785342008094517,0.06872219975920181,2.3010733065758933,1.1121554516386152,-5.2%,600872.SS,-0.828,-6.8%,-15.5%,46.7%,0.0808719324501282,-0.09574646655178559,0.43836620794564707,-71.1%,1.0134660439793255,0.11987591775365611,0.3400687890413959,1.1269370244383063,1.1113349514990236,-5.9%
19,600887.SS,22.531,36.4%,2578.5%,36.7%,1.0295445055361732,0.8921368801245078,0.935859374762505,-40.8%,1.1969830051592265,1.561102221031652,0.0976037978467413,2.3549066117245987,1.1720349872013485,-4.5%,600887.SS,1.198,11.3%,29.0%,33.8%,0.4842835894551619,0.29756796555678633,0.35611286644870144,-37.8%,1.0876162460517553,0.7175990601651617,0.18167464889416038,2.417911386264027,1.142294710583503,-4.2%
