,Symbols,Multiplier,Annual return,Cumulative returns,Annual volatility,Sharpe ratio,Calmar ratio,Stability,Max drawdown,Omega ratio,Sortino ratio,Skew,Kurtosis,Tail ratio,Daily value at risk
13,600845.SS,13.387,30.4%,1360.3%,47.2%,0.7979406106888548,0.45825660257082473,0.8475180844139285,-66.4%,1.1497441343326364,1.208613448861101,0.1803115716102266,1.7853250662192934,1.1751968206913028,-5.8%
14,601012.SS,59.513,52.2%,6155.4%,51.7%,1.0715996552856173,0.8092954574421041,0.9475208918973398,-64.5%,1.208307966173976,1.6228727198557689,0.024150727590934718,2.2219281744994754,1.2771984449672102,-6.3%
15,601100.SS,11.553,28.8%,1182.6%,43.8%,0.7958085858134185,0.42149406458851124,0.8396423272417909,-68.2%,1.1475015616951376,1.1880555670092867,0.08657286869080684,1.7573271286407461,1.0900355828892676,-5.4%
16,601799.SS,13.754,32.7%,1644.9%,44.6%,0.8579909715689877,0.4875428400430795,0.9538646937565355,-67.2%,1.1666819665825288,1.3067573916089363,0.18847750567403054,2.450979002315397,1.2597124399222683,-5.5%
17,601888.SS,17.12,33.6%,1763.2%,42.6%,0.8931767258367569,0.5637736638133684,0.8987327023121036,-59.6%,1.1742392046142527,1.3467637216022277,0.14882884904798016,2.708730060019885,1.1539135182564058,-5.2%
18,603019.SS,12.083,40.7%,1137.0%,57.1%,0.8829959646524915,0.5664837913676622,0.4892219621758923,-71.9%,1.1722243242399255,1.3403183538947063,0.1636145975470482,1.661134055624764,1.2459316745693063,-7.0%
19,603032.SS,10.293,55.9%,937.8%,63.9%,1.0140442212196046,0.6586055951250596,0.0035203857282832844,-84.9%,1.2100561012887572,1.5799159236647318,0.20438645447042966,3.51461646863007,1.840596986029932,-7.8%
20,603127.SS,23.873,98.3%,2316.6%,56.0%,1.5024295967709378,2.0225894512677787,0.9165148632345299,-48.6%,1.2906415674719214,2.3987005386498415,0.3367552014202698,0.9796515569377453,1.2894578357403716,-6.7%
21,603290.SS,20.49,268.9%,1959.5%,71.9%,2.1751221673047922,5.870271764340951,0.6499958616628149,-45.8%,1.4378237296374965,3.6117848583600884,0.21325350472739985,0.033856481943954186,1.4968872076586346,-8.4%
22,603345.SS,10.222,58.1%,960.7%,49.0%,1.1798267968917284,0.9240345431512371,0.8180847340573066,-62.9%,1.225607928117567,1.847112591005604,0.27375525891644403,1.506142995677381,1.224202620463607,-5.9%
23,603392.SS,25.618,376.2%,2466.9%,68.5%,2.6214761438967997,9.11592119827797,0.4544602293613656,-41.3%,1.5607573709911282,4.592637798025705,0.3550021185066892,0.2624950429984896,1.6846674398793657,-7.9%
24,603501.SS,16.617,76.4%,1571.6%,59.0%,1.2549799675432345,1.2604921057832703,0.8539203881857684,-60.6%,1.2559446584411764,2.0178030890580265,0.38529276731983564,1.2507359877719928,1.2727262078608141,-7.1%
25,603605.SS,10.357,70.4%,966.7%,48.7%,1.3379833511477952,1.684301062063147,0.9094648944545355,-41.8%,1.2545028293388722,2.065296539304994,0.1309298820277131,1.4951561901095012,1.2372679572371716,-5.9%
26,603606.SS,10.007,38.1%,961.2%,52.3%,0.8777290792580922,0.5077715755887764,0.5924286051616703,-75.0%,1.1734009695422598,1.3220321066783745,0.15341530540803336,2.127351660040362,1.169328795488336,-6.4%
27,603613.SS,12.319,145.4%,1137.4%,56.3%,1.8764379293757278,4.376948560419531,0.8426709637601039,-33.2%,1.3936450857350628,3.1640491168614417,0.4563265600928405,1.2873538269463873,1.7345859153245746,-6.7%
28,603690.SS,14.347,66.7%,1355.0%,64.7%,1.1041737704020278,1.0985096291089238,0.6667864251696909,-60.7%,1.2206786042947764,1.8198250406128176,1.3422455748743158,12.516877276395569,1.3738754449204893,-7.9%
29,603737.SS,19.897,68.0%,1968.3%,46.9%,1.3369751437188344,1.0703895016907887,0.7412878891436947,-63.5%,1.2684852668739752,2.286233267184442,0.7700341312301425,2.0167253206433333,1.4325847079467526,-5.7%
30,603799.SS,32.718,63.4%,3241.7%,66.6%,1.0712190430471873,0.8787857452918748,0.719072637440555,-72.2%,1.1980850674223726,1.617291781755113,0.02645228172074882,0.6858969603480674,1.209139583153425,-8.1%
31,603986.SS,22.391,74.4%,2193.2%,58.6%,1.2408430541813626,1.2249173461306444,0.7843950410928213,-60.7%,1.2560943033643508,1.9579104649730739,0.1859061323414793,2.249034661868108,1.4362995908271827,-7.1%
32,605358.SS,13.14,352.4%,1229.7%,74.7%,2.3927361215564287,5.823275664198763,0.19133894709781724,-60.5%,1.4942443200564786,4.289082837091707,0.4574678889768987,-0.13898458473582087,1.6397581053888046,-8.7%
